2020.10.17 19:51:37 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 19:51:37 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:01:47 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/dpi/VTAHostDPI.scala
2020.10.17 20:02:34 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/shell/VCR.scala
2020.10.17 20:15:31 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:15:31 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:15:31 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:15:32 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:15:32 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:15:33 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:16:08 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/shell/VCR.scala
2020.10.17 20:16:11 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/util/Config.scala
2020.10.17 20:24:09 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/interface/axi/AXI.scala
2020.10.17 20:29:02 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:29:02 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 20:29:04 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
something's wrong: no file:///home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/util/Config.scala in Option[T]RangePosition(file:///home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/util/Config.scala, 937, 937, 946)
2020.10.17 20:29:32 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
something's wrong: no file:///home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/util/Config.scala in Option[T]RangePosition(file:///home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/util/Config.scala, 937, 937, 946)
2020.10.17 20:29:35 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 21:56:25 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/util/GenericParameterizedBundle.scala
2020.10.17 21:56:43 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 21:56:45 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 21:56:45 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 21:56:45 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 23:13:51 WARN  resetting database: /home/xiaogouguohe/vta_pyhcl/.metals/metals.h2.db
2020.10.17 23:17:22 INFO  started: Metals version 0.9.4 in workspace '/home/xiaogouguohe/vta_pyhcl' for client vscode.
2020.10.17 23:17:24 INFO  time: initialize in 2.19s
2020.10.17 23:17:28 WARN  no build tool detected in workspace '/home/xiaogouguohe/vta_pyhcl'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.17 23:17:31 INFO  no build target: using presentation compiler with only scala-library
2020.10.17 23:17:31 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/util/GenericParameterizedBundle.scala
2020.10.17 23:17:31 WARN  no build target for: /home/xiaogouguohe/incubator-tvm-vta/hardware/chisel/src/main/scala/interface/axi/AXI.scala
10月 17, 2020 11:17:32 下午 org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
警告: Unmatched cancel notification for request id 2
10月 17, 2020 11:17:32 下午 org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
警告: Unmatched cancel notification for request id 3
